codeword, codeword_dec, corr_result
0000000,0, 1
0000001,1, 0
0000010,2, 0
0000011,3, 0
0000100,4, 0
0000101,5, 0
0000110,6, 0
0000111,7, 0
0001000,8, 0
0001001,9, 0
0001010,10, 0
0001011,11, 1
0001100,12, 0
0001101,13, 0
0001110,14, 0
0001111,15, 0
0010000,16, 0
0010001,17, 0
0010010,18, 0
0010011,19, 0
0010100,20, 0
0010101,21, 0
0010110,22, 1
0010111,23, 0
0011000,24, 0
0011001,25, 0
0011010,26, 0
0011011,27, 0
0011100,28, 0
0011101,29, 1
0011110,30, 0
0011111,31, 0
0100000,32, 0
0100001,33, 0
0100010,34, 0
0100011,35, 0
0100100,36, 0
0100101,37, 0
0100110,38, 0
0100111,39, 1
0101000,40, 0
0101001,41, 0
0101010,42, 0
0101011,43, 0
0101100,44, 1
0101101,45, 0
0101110,46, 0
0101111,47, 0
0110000,48, 0
0110001,49, 1
0110010,50, 0
0110011,51, 0
0110100,52, 0
0110101,53, 0
0110110,54, 0
0110111,55, 0
0111000,56, 0
0111001,57, 0
0111010,58, 1
0111011,59, 0
0111100,60, 0
0111101,61, 0
0111110,62, 0
0111111,63, 0
1000000,64, 0
1000001,65, 0
1000010,66, 0
1000011,67, 0
1000100,68, 0
1000101,69, 1
1000110,70, 0
1000111,71, 0
1001000,72, 0
1001001,73, 0
1001010,74, 0
1001011,75, 0
1001100,76, 0
1001101,77, 0
1001110,78, 1
1001111,79, 0
1010000,80, 0
1010001,81, 0
1010010,82, 0
1010011,83, 1
1010100,84, 0
1010101,85, 0
1010110,86, 0
1010111,87, 0
1011000,88, 1
1011001,89, 0
1011010,90, 0
1011011,91, 0
1011100,92, 0
1011101,93, 0
1011110,94, 0
1011111,95, 0
1100000,96, 0
1100001,97, 0
1100010,98, 1
1100011,99, 0
1100100,100, 0
1100101,101, 0
1100110,102, 0
1100111,103, 0
1101000,104, 0
1101001,105, 1
1101010,106, 0
1101011,107, 0
1101100,108, 0
1101101,109, 0
1101110,110, 0
1101111,111, 0
1110000,112, 0
1110001,113, 0
1110010,114, 0
1110011,115, 0
1110100,116, 1
1110101,117, 0
1110110,118, 0
1110111,119, 0
1111000,120, 0
1111001,121, 0
1111010,122, 0
1111011,123, 0
1111100,124, 0
1111101,125, 0
1111110,126, 0
1111111,127, 1
