codeword, codeword_dec, corr_result
0000000, 0, 0
0001011, 11, 104
0010110, 22, 52
0011101, 29, 92
0100111, 39, 114
0101100, 44, 26
0110001, 49, 70
0111010, 58, 46
1000101, 69, 81
1001110, 78, 57
1010011, 83, 101
1011000, 88, 13
1100010, 98, 35
1101001, 105, 75
1110100, 116, 23
1111111, 127, 127
0000001, 1, 0
0001010, 10, 104
0010111, 23, 52
0011100, 28, 92
0100110, 38, 114
0101101, 45, 26
0110000, 48, 70
0111011, 59, 46
1000100, 68, 81
1001111, 79, 57
1010010, 82, 101
1011001, 89, 13
1100011, 99, 35
1101000, 104, 75
1110101, 117, 23
1111110, 126, 127
0000010, 2, 0
0001001, 9, 104
0010100, 20, 52
0011111, 31, 92
0100101, 37, 114
0101110, 46, 26
0110011, 51, 70
0111000, 56, 46
1000111, 71, 81
1001100, 76, 57
1010001, 81, 101
1011010, 90, 13
1100000, 96, 35
1101011, 107, 75
1110110, 118, 23
1111101, 125, 127
0000100, 4, 0
0001111, 15, 104
0010010, 18, 52
0011001, 25, 92
0100011, 35, 114
0101000, 40, 26
0110101, 53, 70
0111110, 62, 46
1000001, 65, 81
1001010, 74, 57
1010111, 87, 101
1011100, 92, 13
1100110, 102, 35
1101101, 109, 75
1110000, 112, 23
1111011, 123, 127
0001000, 8, 0
0000011, 3, 104
0011110, 30, 52
0010101, 21, 92
0101111, 47, 114
0100100, 36, 26
0111001, 57, 70
0110010, 50, 46
1001101, 77, 81
1000110, 70, 57
1011011, 91, 101
1010000, 80, 13
1101010, 106, 35
1100001, 97, 75
1111100, 124, 23
1110111, 119, 127
0010000, 16, 0
0011011, 27, 104
0000110, 6, 52
0001101, 13, 92
0110111, 55, 114
0111100, 60, 26
0100001, 33, 70
0101010, 42, 46
1010101, 85, 81
1011110, 94, 57
1000011, 67, 101
1001000, 72, 13
1110010, 114, 35
1111001, 121, 75
1100100, 100, 23
1101111, 111, 127
0100000, 32, 0
0101011, 43, 104
0110110, 54, 52
0111101, 61, 92
0000111, 7, 114
0001100, 12, 26
0010001, 17, 70
0011010, 26, 46
1100101, 101, 81
1101110, 110, 57
1110011, 115, 101
1111000, 120, 13
1000010, 66, 35
1001001, 73, 75
1010100, 84, 23
1011111, 95, 127
1000000, 64, 0
1001011, 75, 104
1010110, 86, 52
1011101, 93, 92
1100111, 103, 114
1101100, 108, 26
1110001, 113, 70
1111010, 122, 46
0000101, 5, 81
0001110, 14, 57
0010011, 19, 101
0011000, 24, 13
0100010, 34, 35
0101001, 41, 75
0110100, 52, 23
0111111, 63, 127
