codeword, codeword_dec, corr_result
0000000, 0, 0
1010001, 81, 69
1110010, 114, 39
0100011, 35, 98
0110100, 52, 22
1100101, 101, 83
1000110, 70, 49
0010111, 23, 116
1101000, 104, 11
0111001, 57, 78
0011010, 26, 44
1001011, 75, 105
1011100, 92, 29
0001101, 13, 88
0101110, 46, 58
1111111, 127, 127
0000001, 1, 0
1010000, 80, 69
1110011, 115, 39
0100010, 34, 98
0110101, 53, 22
1100100, 100, 83
1000111, 71, 49
0010110, 22, 116
1101001, 105, 11
0111000, 56, 78
0011011, 27, 44
1001010, 74, 105
1011101, 93, 29
0001100, 12, 88
0101111, 47, 58
1111110, 126, 127
0000010, 2, 0
1010011, 83, 69
1110000, 112, 39
0100001, 33, 98
0110110, 54, 22
1100111, 103, 83
1000100, 68, 49
0010101, 21, 116
1101010, 106, 11
0111011, 59, 78
0011000, 24, 44
1001001, 73, 105
1011110, 94, 29
0001111, 15, 88
0101100, 44, 58
1111101, 125, 127
0000100, 4, 0
1010101, 85, 69
1110110, 118, 39
0100111, 39, 98
0110000, 48, 22
1100001, 97, 83
1000010, 66, 49
0010011, 19, 116
1101100, 108, 11
0111101, 61, 78
0011110, 30, 44
1001111, 79, 105
1011000, 88, 29
0001001, 9, 88
0101010, 42, 58
1111011, 123, 127
0001000, 8, 0
1011001, 89, 69
1111010, 122, 39
0101011, 43, 98
0111100, 60, 22
1101101, 109, 83
1001110, 78, 49
0011111, 31, 116
1100000, 96, 11
0110001, 49, 78
0010010, 18, 44
1000011, 67, 105
1010100, 84, 29
0000101, 5, 88
0100110, 38, 58
1110111, 119, 127
0010000, 16, 0
1000001, 65, 69
1100010, 98, 39
0110011, 51, 98
0100100, 36, 22
1110101, 117, 83
1010110, 86, 49
0000111, 7, 116
1111000, 120, 11
0101001, 41, 78
0001010, 10, 44
1011011, 91, 105
1001100, 76, 29
0011101, 29, 88
0111110, 62, 58
1101111, 111, 127
0100000, 32, 0
1110001, 113, 69
1010010, 82, 39
0000011, 3, 98
0010100, 20, 22
1000101, 69, 83
1100110, 102, 49
0110111, 55, 116
1001000, 72, 11
0011001, 25, 78
0111010, 58, 44
1101011, 107, 105
1111100, 124, 29
0101101, 45, 88
0001110, 14, 58
1011111, 95, 127
1000000, 64, 0
0010001, 17, 69
0110010, 50, 39
1100011, 99, 98
1110100, 116, 22
0100101, 37, 83
0000110, 6, 49
1010111, 87, 116
0101000, 40, 11
1111001, 121, 78
1011010, 90, 44
0001011, 11, 105
0011100, 28, 29
1001101, 77, 88
1101110, 110, 58
0111111, 63, 127
